Country,Localite,Category,Value,Index_days,Monthly,Lat,Long,Population,GCD_m,GCD_km,ln_km,LnIndex,LnGCD_m,LnPop,COO_1,,Speed
1,Dalaba,Cases,0,285,10,10.691670,-12.250000,136320,331010.88,331.01,5.80,5.66,12.71,11.82,.00458,,1161.441684
2,Grand Kru,Cases,0,290,10,4.679722,-8.233890,57913,480610.32,480.61,6.18,5.67,13.08,10.97,.00000,,1657.276966
1,Kindia,Cases,0,293,10,10.066670,-12.850000,438315,341740.92,341.74,5.83,5.68,12.74,12.99,.00562,,1166.351263
1,Beyla,Cases,0,298,10,8.683333,-8.633330,325482,165746.41,165.75,5.11,5.70,12.02,12.69,.04494,,556.1960067
1,Lola,Cases,0,303,11,7.800000,-8.533330,175213,195991.34,195.99,5.28,5.72,12.19,12.07,.03256,,646.8361056
1,Faranah,Cases,0,311,11,10.033330,-10.733300,280511,175360.56,175.36,5.17,5.74,12.07,12.54,.04837,,563.8603215
1,Boke,Cases,0,312,11,10.933330,-14.300000,449405,526793.90,526.79,6.27,5.75,13.17,13.02,.00015,,1688.441987
4,Kayes,Cases,1,326,11,14.450000,-11.433333,127368,669341.86,669.30,6.51,5.79,13.41,11.75,.02216,,2053.195902
1,Fria,Cases,1,380,13,10.450000,-13.533333,96527,427301.51,427.30,6.06,5.94,12.97,11.48,.04121,,1124.477658
1,Koundara,Cases,0,389,13,12.483330,-13.300000,130205,555983.69,555.98,6.32,5.97,13.23,11.78,.04444,,1429.263985
1,Mali,Cases,1,418,14,12.083330,-12.300000,290320,456893.58,456.89,6.12,6.04,13.03,12.58,.08041,,1093.046842
1,Lelouma,Cases,3,421,15,11.183330,-12.933300,162634,422216.41,422.22,6.05,6.05,12.95,12.00,.07671,,1002.889335
